row	label	geometry	liveness	semantics	target	reproducibility	frozen_gate	encodable	dispatched	distinct_actual_enc	records	legal_ok	silent	hard	fault_values	hang_values	collapsed	untested	valid_payloads	sem_checks	carriers	hazard
b_alu14_c83.fmt10	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu14_c83.fmt4	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu14_c83.fmt6	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu14_c83.form	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	8	0	0	0	0	0	0	0	0	0	8	0	0	0	no
b_alu14_c83.reg_a	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu14_c83.reg_b	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu14_c83.rsv11	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu14_c83.rsv8	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu14_c83.rsv9	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu14_c83.srcB_reg	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu14_c83.srcU_desc	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu14_c83.srcU_reg	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu14_c83.src_lo	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
b_alu14_prep2.dst	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	16	0	0	0	0	0	0	0	0	0	16	0	0	0	no
b_alu14_prep2.sel	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
bf_alu8_var.dst	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	16	0	0	0	0	0	0	0	0	0	16	0	0	0	no
bf_alu8_var.form	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
bf_alu8_var.opsel	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
bf_alu8_var.srcA	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
bf_alu8_var.srcB	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
bf_alu8_var.tail	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	n/a (width=24 bits)	0	0	0	0	0	0	0	0	0	n/a	0	0	0	no
bf_mul_dst.dst	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	16	0	0	0	0	0	0	0	0	0	16	0	0	0	no
bf_mul_dst.fmt	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
bf_mul_dst.srcA	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
bf_mul_dst.srcB	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
bf_mul_dst.tail	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	n/a (width=24 bits)	0	0	0	0	0	0	0	0	0	n/a	0	0	0	no
call.tail	untested	geometry-mapped	inert in the tested envelope	unknown	G17P-direct	independently-confirmed	passed-own-gate	256	256	256	5696	256	0	0	0	0	0	0	1	4672	11	no
call_indirect.b2	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
call_indirect.b4	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
call_indirect.b5	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
call_indirect.target_lo	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
compute_fence_scoped.kind	tokenization-only	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	auditable	never-promoted	256	256	256	512	256	0	0	0	0	0	0	1	512	1	no
compute_fence_scoped.mask	tokenization-only	geometry-mapped	live in the tested envelope	unknown	G16G-direct	auditable	never-promoted	256	256	256	512	246	0	0	0	0	0	0	7	512	1	no
compute_fence_scoped.scope	tokenization-only	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	auditable	never-promoted	256	256	256	512	256	0	0	0	0	0	0	1	512	1	no
coord_madf.b1	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
coord_madf.body	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	n/a (width=40 bits)	0	0	0	0	0	0	0	0	0	n/a	0	0	0	no
coord_madf.mark	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
coord_madf.srcA	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
copysign.operands	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	independently-confirmed	passed-own-gate	256	256	256	10512	256	0	0	0	0	0	0	17	10512	6	no
cubearray_coord_const.b3	tokenization-only	geometry-mapped	accepted-inert among the legal values in the tested envelope	unknown	G17P-direct	auditable	never-promoted	256	256	256	512	256	0	254	254	0	0	0	1	512	2	yes
cvt_f2i.b9	single-template-inference	geometry-mapped	live in the tested envelope	unknown	G16G-direct	independently-confirmed	passed-own-gate	256	256	256	7480	256	0	256	0	256	0	0	33	7480	10	yes
cvt_i2f_src.dst_desc	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	256	256	256	768	2	4	384	64	256	0	0	15	768	1	yes
cvt_i2f_src.src_cache	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	256	256	256	1536	256	0	512	0	256	0	0	11	1536	1	no
dev_scoreboard_fence.scope_flag	corpus-correlation	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	independently-confirmed	never-promoted	256	256	256	526	256	0	0	0	0	0	0	1	526	2	no
device_load.access_desc	untested	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	256	256	256	768	256	0	0	0	0	0	0	1	768	1	no
device_load.addr_mode	untested	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	256	256	256	768	256	0	0	0	0	0	0	1	768	1	no
device_load.reserved13	untested	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	256	256	256	768	256	0	0	0	0	0	0	1	768	1	no
device_load.reserved7	untested	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	256	256	256	768	256	0	0	0	0	0	0	1	768	1	no
falu2_ext.ctrl	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	independently-confirmed	passed-own-gate	128	128	128	1742	16	380	64	38	0	0	0	7	1742	2	yes
falu2_ext.srcA_size	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	independently-confirmed	passed-own-gate	2	2	2	12	2	0	0	0	0	0	0	2	12	2	no
falu2_ext.srcB_imm	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	independently-confirmed	passed-own-gate	2	2	2	12	2	0	0	0	0	0	0	2	12	2	no
falu2_srcmod10.ctrl	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	independently-confirmed	never-promoted	128	128	128	768	24	216	10	10	0	0	0	3	768	2	yes
falu2_srcmod10.opsel	corpus-correlation	geometry-mapped	live in the tested envelope	unknown	G16G-direct	independently-confirmed	never-promoted	8	8	8	48	2	0	5	2	0	0	0	5	48	2	yes
falu2i.ctrl_lo	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	independently-confirmed	passed-own-gate	128	128	128	1156	4	288	19	19	0	0	0	18	1156	3	yes
falu2i.mods	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	independently-confirmed	passed-own-gate	256	256	256	1280	16	64	0	0	0	0	0	5	1280	2	yes
falu2i.opflags	untested	geometry-mapped	live in the tested envelope	unknown	G17P-direct	auditable	passed-own-gate	16	16	16	32	4	12	0	0	0	0	0	3	32	1	yes
falu2i.srcA_reg_top	untested	geometry-mapped	live in the tested envelope	unknown	G17P-direct	independently-confirmed	passed-own-gate	2	64	64	156	2	0	0	0	0	0	n/a	15	156	1	no
falu3.op	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	independently-confirmed	passed-own-gate	256	256	256	12476	24	2426	2518	33	0	0	0	42	12476	6	yes
falu3_ext.op	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	independently-confirmed	passed-own-gate	256	256	256	14848	16	2018	3270	35	0	0	0	52	14848	6	yes
falu3_srcmod12.ctrl	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	independently-confirmed	never-promoted	128	128	128	3328	12	1278	39	26	0	0	0	8	3328	5	yes
falu3_srcmod12.opsel	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	independently-confirmed	never-promoted	8	8	8	228	2	60	6	2	0	0	0	7	228	5	yes
falu_compact4.dst	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	16	0	0	0	0	0	0	0	0	0	16	0	0	0	no
falu_compact4.operand	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
falu_compact4.opmode	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	32	0	0	0	0	0	0	0	0	0	32	0	0	0	no
falu_compact4.opsel	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	8	0	0	0	0	0	0	0	0	0	8	0	0	0	no
falu_compact4.src	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
falu_srcmod12b.ext_srcmod	tokenization-only	ledger-verified	live in the tested envelope	unknown	G16G-direct	auditable	never-promoted	n/a (width=48 bits)	600	1531	4608	600	9	85	65	0	0	n/a	16	4608	1	yes
falu_srcmod12b.mod_hi	untested	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	16	16	16	48	8	0	0	0	0	0	0	1	48	1	no
falu_srcmod12b.mod_lo	untested	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	8	8	8	48	1	0	0	0	0	0	0	1	48	1	no
falu_srcmod12b.srcB_imm	untested	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	2	2	2	6	2	0	0	0	0	0	0	1	6	1	no
falu_srcmod12b.srcB_neg	untested	geometry-mapped	inert in the tested envelope	unknown	G16G-direct	auditable	passed-own-gate	2	2	2	6	1	0	0	0	0	0	0	1	6	1	no
fldexp.b4	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
fldexp.b5	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
fldexp.dst	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	16	0	0	0	0	0	0	0	0	0	16	0	0	0	no
fldexp.operand	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
frag_color_pack.conv_scale	untested	unverified	live in the tested envelope	hypothesis	G16G-direct	incomplete	passed-own-gate	256	14	0	0	0	0	0	0	0	0	242	0	0	0	yes
frag_color_pack.fmt_class	untested	geometry-mapped	inert in the tested envelope	unknown	G17P-direct	auditable	passed-own-gate	256	256	256	512	255	0	0	0	0	0	0	1	512	1	no
frag_color_pack.src_gate_select	untested	unverified	live in the tested envelope	hypothesis	G16G-direct	incomplete	passed-own-gate	256	17	0	0	0	0	0	0	0	0	239	0	0	0	yes
frag_color_store.store_mode	single-template-inference	geometry-mapped	inert in the tested envelope	unknown	G17P-direct	independently-confirmed	passed-own-gate	256	256	256	5126	256	0	0	0	0	0	0	1	1030	11	no
frag_sample_submit.b1	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
frag_sample_submit.b2	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
frag_sample_submit.body	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	n/a (width=24 bits)	0	0	0	0	0	0	0	0	0	n/a	0	0	0	no
frag_tile_setup.access	single-template-inference	geometry-mapped	inert in the tested envelope	unknown	G17P-direct	independently-confirmed	passed-own-gate	256	256	256	5120	256	0	0	0	0	0	0	1	1024	10	no
frag_tile_setup.b5	single-template-inference	geometry-mapped	inert in the tested envelope	unknown	G17P-direct	independently-confirmed	passed-own-gate	256	256	256	5120	256	0	0	0	0	0	0	1	1024	10	no
frag_tile_setup.sel	single-template-inference	geometry-mapped	inert in the tested envelope	unknown	G17P-direct	independently-confirmed	passed-own-gate	256	256	256	5120	256	0	0	0	0	0	0	1	1024	10	no
frame_marker.companion	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
frame_marker.srcA_reg	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
frame_marker.subform	corpus-correlation	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
frame_prologue.frame_size	untested	unverified	accepted-inert among the legal values in the tested envelope	hypothesis	G16G-direct	incomplete	passed-own-gate	n/a (width=24 bits)	13	0	0	0	0	0	0	0	0	n/a	0	0	0	yes
frame_prologue.marker	untested	unverified	accepted-inert in the tested envelope	hypothesis	G16G-direct	incomplete	passed-own-gate	256	5	0	0	0	0	0	0	0	0	251	0	0	0	no
frame_prologue.subop	untested	unverified	accepted-inert among the legal values in the tested envelope	hypothesis	G16G-direct	incomplete	passed-own-gate	256	9	0	0	0	0	0	0	0	0	247	0	0	0	yes
fspecial_est.srcA	untested	geometry-mapped	live in the tested envelope	unknown	G16G-direct	independently-confirmed	passed-own-gate	256	256	1022	18269	256	833	0	0	0	0	0	94	16989	8	yes
funary.b1	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
funary.ext	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	n/a (width=32 bits)	0	0	0	0	0	0	0	0	0	n/a	0	0	0	no
funary.mod	corpus-correlation	unverified	live in the tested envelope	bounded-map -- bounded-map at 4 points	G17P-direct	auditable	never-promoted	256	4	0	0	0	0	0	0	0	0	252	3	0	0	no
funary.srcA	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
funary.srcmod	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
funary_imm.dst	untested	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	16	0	0	0	0	0	0	0	0	0	16	0	0	0	no
funary_imm.lut_a	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
funary_imm.mod	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	256	0	0	0	0	0	0	0	0	0	256	0	0	0	no
funary_imm.modtail	tokenization-only	unverified	not-dispatched	unknown	cross-target-inferred	incomplete	never-promoted	n/a (width=32 bits)	0	0	0	0	0	0	0	0	0	n/a	0	0	0	no
