atomic_rmw	amode_hi	hardware-run	M4	EXP-0141	Was `tokenization-only`. The two carriers accept DIFFERENT value sets, so the byte's meaning is form-dependent; not root-caused. Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22.
atomic_rmw	idx_off	hardware-run	M4	EXP-0141	Was `tokenization-only`. Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22.
atomic_rmw	index_reg	hardware-run	M4	EXP-0141	FIRST-ORDER db_defects RESULT: db.json says 'the actual RMW operand register is implicit (supplied by the preceding op / amode)' and DOC-02 ranks it a MISSING field. It is not implicit; see db_defects.atomic_operand_register. Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22. OPERAND-REGISTER SPLIT (EXP-0141, HW): the RMW operand register IS encoded in the instruction. operand_register_index = (byte+5 >> 7) | ((byte+6 & 0x3F) << 1), relative to the register the compiler's own encoding selects.
atomic_rmw	oper_reg_hi	hardware-run	M4	EXP-0141	Same db_defect: modelled `tokenization-only`, 'framing only, no value semantics'. Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22. OPERAND-REGISTER SPLIT (EXP-0141, HW): proven at all four constructible indices -- 0 -> a[0]=7, 1 -> a[1]=1007, 2 -> a[2]=2007, 3 -> a[3]=3007 -- each with the redirected register's later reader zeroed (the same register-release contract EXP-0086/0089/0099 document for the ALU families). RESIDUAL UNKNOWN: with byte+5 = 0x80, byte+6 values 0x30 and 0x31 restore the BASELINE operand instead of selecting index 97/99, and they are the only two addendum cases whose acceptance disagreed between run21 and run22.
atomic_rmw	oper_reg_lo	hardware-run	M4	EXP-0141	FIRST-ORDER db_defects RESULT: db.json says 'the actual RMW operand register is implicit (supplied by the preceding op / amode)' and DOC-02 ranks it a MISSING field. It is not implicit; see db_defects.atomic_operand_register. Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22. OPERAND-REGISTER SPLIT (EXP-0141, HW): the RMW operand register IS encoded in the instruction. operand_register_index = (byte+5 >> 7) | ((byte+6 & 0x3F) << 1), relative to the register the compiler's own encoding selects.
atomic_rmw	ret_desc	hardware-run	M4	EXP-0141	Was `corpus-correlation`. Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22.
atomic_rmw	ret_flag	hardware-run	M4	EXP-0141	Was `corpus-correlation` (byte+7 bit0 = discard/no-writeback). Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22.
atomic_rmw	rsv10	hardware-run	M4	EXP-0141	Was `tokenization-only`; the name is wrong. Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22.
atomic_rmw	rsv11	hardware-run	M4	EXP-0141	Was `tokenization-only`; the name is wrong. Swept in the atomic_rmw (byte+1 == 0x11) form itself, addendum runs 21/22.
atomic_tg	data_desc	hardware-run	M4	EXP-0141	Was `corpus-correlation`.
atomic_tg	rsv4	hardware-run	M4	EXP-0141	Was `tokenization-only`; the name is wrong.
atomic_tg	rsv6	hardware-run	M4	EXP-0141	Was `tokenization-only`.
atomic_tg	rsv9	hardware-run	M4	EXP-0141	Was `tokenization-only`; the name is wrong.
atomic_tg	xop_desc	hardware-run	M4	EXP-0141	Was `tokenization-only`.
bf_add_dst	dst	hardware-run	G17P	EXP-0156	86 values reclassified `no_store` (EXP-0140 §8 rule: invalid_run in BOTH gated runs with every trial STATUS OK)
bf_add_dst	srcB	hardware-run	G17P	EXP-0156	190 values reclassified `no_store` (EXP-0140 §8 rule: invalid_run in BOTH gated runs with every trial STATUS OK)
bf_alu	opsel	hardware-run	G17P	EXP-0169	moved on 1 of 1 ladder-passing carriers
bf_alu	srcA	hardware-run	G17P	EXP-0169	moved on 1 of 1 ladder-passing carriers
bf_alu	srcB	hardware-run	G17P	EXP-0169	moved on 1 of 1 ladder-passing carriers
bf_alu	tail	hardware-run	G17P	EXP-0169	moved on 1 of 1 ladder-passing carriers
bf_fma_dst	dst	hardware-run	G17P	EXP-0156	81 values reclassified `no_store` (EXP-0140 §8 rule: invalid_run in BOTH gated runs with every trial STATUS OK)
bf_fma_dst	srcB	hardware-run	G17P	EXP-0156	128 values reclassified `no_store` (EXP-0140 §8 rule: invalid_run in BOTH gated runs with every trial STATUS OK)
bf_fma_dst	tail	hardware-run	G17P	EXP-0171	MOVED 50 of 50 on NAT:k_bffma@bf_fma_dst+46; cross-run agreement 1.0000 (50 agree / 0 disagree); 3 admitted carriers [FRAME,NAT,SYNTH | k_bffma]; accept-set size 0 = []; outcomes {"silent_zero": 49, "wrong_value": 1} The accept-set is empty BY CONSTRUCTION: this field spans 4 bytes, its anchor composite value 0x81c00010 is not a member of the FIELD-SWEEP-PROTOCOL 3.3 sample set, so no sampled value can reproduce the baseline. The per-byte DENSE accept counts are {"6": 4, "7": 8, "8": 32, "9": 32}.
call	b6	hardware-run	G17P	EXP-0179	CORRECTED BY THE EXPERIMENT ITSELF, 2026-08-30. EXP-0179 first reported `b6` INERT across 0..255 on both GENERATED carriers; its independent second method (arm S, mutating the real compiler-emitted call inside our own compiled `c_frame.metal`) shows BIT 1 IS LOAD-BEARING and must be set. The generated leaf callee is BLIND to that dimension -- the same failure shape as `ret.scoreboard`, and caught by a second method rather than by argument. An emitter must set bit 1. This is why a single carrier family, however dense the sweep, cannot establish inertness: FIELD-SWEEP-PROTOCOL requires carriers differing in the dimension the field controls, and two generated carriers that share a leaf callee do not differ in it.
call	offset	isolated-byte-diff	A18	EXP-0035|EXP-0179-g17p-call	EXP-0189 citation repair: the records supporting this row live in EXP-0179-g17p-call; the original citation EXP-0035 has no per-value records for it. Both are kept -- the stale one is where the claim came from, the new one is where the evidence is.
carry_gen	b5	hardware-run	G17P	EXP-0161	A_CARRY_INPLACE: accepted set is [1, 5, 9, 129] (no mask rule fits) | A_CARRY_SYNTH: accepted set is [1, 5, 129] (no mask rule fits)
carry_gen	cmpmode	hardware-run	G17P	EXP-0161	A_CARRY_INPLACE: accepted set fits (v & 0xA7) == 0x22 (8 of 256 values) | A_CARRY_SYNTH: accepted set fits (v & 0xA7) == 0x22 (8 of 256 values)
carry_gen	dst	hardware-run	G17P	EXP-0161	A_CARRY_INPLACE: accepted set fits (v & 0x0F) == 0x03 (1 of 16 values) | A_CARRY_SYNTH: accepted set fits (v & 0x0F) == 0x03 (1 of 16 values)
carry_gen	srcA	hardware-run	G17P	EXP-0161	A_CARRY_INPLACE: accepted set fits (v & 0x7F) == 0x01 (2 of 256 values)
carry_gen	srcB	hardware-run	G17P	EXP-0161	A_CARRY_INPLACE: accepted set fits (v & 0x7F) == 0x03 (2 of 256 values) | A_CARRY_SYNTH: accepted set fits (v & 0x7F) == 0x03 (2 of 256 values) | A_CARRY_SYNTH.srcB: released register map -> reg=(v>>1)&0x3F, fit 22/22
cvt_bf16	b5	hardware-run	G17P	EXP-0162	outcomes {'wrong_value': 16, 'ok': 152, 'silent_zero': 88}. detection power: 31 semantic vectors on the UNMUTATED instruction, each with a host-computed oracle; the sweep separates ok / wrong_value / silent_zero / not_written (poisoned read-back) and 71 of 1816 cases fault, so the instrument demonstrably distinguishes all five outcome classes.
cvt_bf16	b7	hardware-run	G17P	EXP-0162	outcomes {'ok': 128, 'wrong_value': 128}. detection power: 31 semantic vectors on the UNMUTATED instruction, each with a host-computed oracle; the sweep separates ok / wrong_value / silent_zero / not_written (poisoned read-back) and 71 of 1816 cases fault, so the instrument demonstrably distinguishes all five outcome classes.
cvt_bf16	dir	hardware-run	G17P	EXP-0162	outcomes {'wrong_value': 160, 'ok': 32, 'silent_zero': 64}. detection power: 31 semantic vectors on the UNMUTATED instruction, each with a host-computed oracle; the sweep separates ok / wrong_value / silent_zero / not_written (poisoned read-back) and 71 of 1816 cases fault, so the instrument demonstrably distinguishes all five outcome classes.
cvt_bf16	dst	hardware-run	G17P	EXP-0162	EXP-0144 reported this field `untested` because it gave byte0 only a bounded 24-value probe. Sweeping ONLY the high nibble covers the field exhaustively without touching the length. Outcomes: {'ok': 8, 'wrong_value': 8}. detection power: 31 semantic vectors on the UNMUTATED instruction, each with a host-computed oracle; the sweep separates ok / wrong_value / silent_zero / not_written (poisoned read-back) and 71 of 1816 cases fault, so the instrument demonstrably distinguishes all five outcome classes.
cvt_bf16	fmt	isolated-byte-diff	G17P	EXP-0162|EXP-0183	CREATED by EXP-0183 when the 8-bit `match` pin [32,8,1] was narrowed to [32,1,1]. The old pin demanded byte+4 == 0x01, and **0x01 is a value the hardware REJECTS** (`wrong_value` in EXP-0162's dense sweep) -- so the HW-validated anchor `01 01 14 81 05 02 40 00`, which our own GPU executed correctly, did not decode as cvt_bf16 at all; it fell through to the least-specific `bf_alu8_var`. Single gated run, hence `isolated-byte-diff` rather than `hardware-run`.
cvt_bf16	opsel	hardware-run	G17P	EXP-0162	outcomes {'wrong_value': 132, 'ok': 40, 'silent_zero': 52, 'fault': 32}. detection power: 31 semantic vectors on the UNMUTATED instruction, each with a host-computed oracle; the sweep separates ok / wrong_value / silent_zero / not_written (poisoned read-back) and 71 of 1816 cases fault, so the instrument demonstrably distinguishes all five outcome classes.
cvt_bf16	srcw	hardware-run	G17P	EXP-0162	outcomes {'silent_zero': 236, 'ok': 2, 'wrong_value': 18}. detection power: 31 semantic vectors on the UNMUTATED instruction, each with a host-computed oracle; the sweep separates ok / wrong_value / silent_zero / not_written (poisoned read-back) and 71 of 1816 cases fault, so the instrument demonstrably distinguishes all five outcome classes.
cvt_f2h	b1	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_f2h	b4	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_f2h	op	hardware-run	G17P	EXP-0168	99.609% agreement over 256 shared values, 221 moved vs 1 disagreements (221.00x), ladder and falsifier passed in every run
cvt_f2h	src	isolated-byte-diff	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_f2h	tail	isolated-byte-diff	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_f2h_dst	dhalf	hardware-run	G17P	EXP-0162	outcomes {'wrong_value': 140, 'silent_zero': 114, 'ok': 2}. detection power: 5 semantic vectors match IEEE RNE fp16 exactly on the unmutated instruction; 86 of 1304 cases fault and 115 silently zero, so the instrument separates the outcome classes.
cvt_f2h_dst	dst	hardware-run	G17P	EXP-0162	EXP-0144 reported this field `untested` because it gave byte0 only a bounded 24-value probe. Sweeping ONLY the high nibble covers the field exhaustively without touching the length. Outcomes: {'wrong_value': 15, 'ok': 1}. detection power: 5 semantic vectors match IEEE RNE fp16 exactly on the unmutated instruction; 86 of 1304 cases fault and 115 silently zero, so the instrument separates the outcome classes.
cvt_f2h_dst	opsel	hardware-run	G17P	EXP-0162	outcomes {'wrong_value': 216, 'ok': 8, 'fault': 32}. detection power: 5 semantic vectors match IEEE RNE fp16 exactly on the unmutated instruction; 86 of 1304 cases fault and 115 silently zero, so the instrument separates the outcome classes.
cvt_f2h_dst	src	hardware-run	G17P	EXP-0162	outcomes {'fault': 53, 'ok': 77, 'wrong_value': 126}. detection power: 5 semantic vectors match IEEE RNE fp16 exactly on the unmutated instruction; 86 of 1304 cases fault and 115 silently zero, so the instrument separates the outcome classes.
cvt_f2h_dst	srcfmt	hardware-run	G17P	EXP-0162	outcomes {'wrong_value': 254, 'ok': 2}. detection power: 5 semantic vectors match IEEE RNE fp16 exactly on the unmutated instruction; 86 of 1304 cases fault and 115 silently zero, so the instrument separates the outcome classes.
cvt_f2h_dst	tail	hardware-run	G17P	EXP-0162	outcomes {'wrong_value': 200, 'ok': 56}. detection power: 5 semantic vectors match IEEE RNE fp16 exactly on the unmutated instruction; 86 of 1304 cases fault and 115 silently zero, so the instrument separates the outcome classes.
cvt_f2i	cvtop	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_f2i	dst	hardware-run	G17P	EXP-0168	100.000% agreement over 256 shared values, 190 moved vs 0 disagreements (infx), ladder and falsifier passed in every run
cvt_f2i	dst_class	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_f2i	mode	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_f2i	signflag	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_f2i	src	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_f2i	src_class	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_i2f	cvtop	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_i2f	dst	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 255 measurements: 1 overturned by the majority vote (0.39%); where they disagree the revalidation wins.
cvt_i2f	mode	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_i2f	signflag	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_i2f	src	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_i2f	src_class	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_i2f_src	cvtop	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_i2f_src	signflag	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_i2f_src	src	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
cvt_i2f_src	src_class	hardware-run	M4	EXP-0144	Derived from the rv01 REVALIDATION only. Compared against the contaminated run03/run05 on 256 measurements: 0 overturned by the majority vote (0.00%); where they disagree the revalidation wins.
device_load	base_slot	hardware-run	M4	EXP-0010|EXP-0083|EXP-0141-m4-emit-mem	31 base slots are simultaneously usable via the direct-binding API; that is a binding-path capacity, not proof of a hardware ceiling. | EXP-0189 citation repair: the records supporting this row live in EXP-0141-m4-emit-mem; the original citation EXP-0083, EXP-0010 has no per-value records for it. Both are kept -- the stale one is where the claim came from, the new one is where the evidence is.
device_load	elem_size	hardware-run	M4	EXP-0141	Extends EXP-0082 (canonical codes plus 23 raw values) to the full byte.
device_load	idx_off	hardware-run	M4	EXP-0082|EXP-0100|EXP-0141-m4-emit-mem	Unsigned 11-bit, no internal holes. The LOAD offset unit is a FIXED 4 bytes, independent of elem_size (neither element units nor byte units). | EXP-0189 citation repair: the records supporting this row live in EXP-0141-m4-emit-mem; the original citation EXP-0082, EXP-0100 has no per-value records for it. Both are kept -- the stale one is where the claim came from, the new one is where the evidence is.
device_load	index_reg	hardware-run	M4	EXP-0141	Adds the bit-7 mirror, which no prior experiment reports, and re-confirms the r95/r96 fault boundary (EXP-M4-10) with 3-of-3 fault reproduction.
device_load	ld_format	hardware-run	M4	EXP-0141	First execution of SYNTHESISED ld_format codes; EXP-M4-13 located the field by compile-only byte-diff and never ran one.
device_load	ldform_hi11	hardware-run	M4	EXP-0141	Was `untested` with range `none`. EXP-0082's 6-value probe found 3 inert and 2 'undecodable'; the dense sweep resolves it to a clean low-3-bits-must-be-zero rule.
device_load	space	hardware-run	M4	EXP-0141	Was `isolated-byte-diff` over 2 of 256 values (0x00 device, 0x02 threadgroup).
device_store	access_desc	hardware-run	G17P	EXP-0169	no observable effect over the swept range on 2 structurally different ladder-passing carriers
device_store	addr_mode	hardware-run	G17P	EXP-0169	no observable effect over the swept range on 2 structurally different ladder-passing carriers
device_store	base_slot	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
device_store	elem_size	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
device_store	extmode	hardware-run	M4	EXP-0141	The 0xC0 alternative is now characterised rather than merely observed. Its MEANING is still unknown; only that it is accepted.
device_store	idx_off	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
device_store	index_reg	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
device_store	reserved13	hardware-run	G17P	EXP-0169	no observable effect over the swept range on 2 structurally different ladder-passing carriers
device_store	reserved7	hardware-run	G17P	EXP-0169	no observable effect over the swept range on 2 structurally different ladder-passing carriers
device_store	space	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
device_store	st_desc_hi	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
device_store	st_format	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
device_store	st_format_ext	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
falu2	ctrl	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
falu2	dst	hardware-run	G17P	EXP-0168	100.000% agreement over 16 shared values, 15 moved vs 0 disagreements (infx), ladder and falsifier passed in every run
falu2	mod_hi	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
falu2	opflags	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
falu2	opsel	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
falu2	srcA_class	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
falu2	srcA_reg	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
falu2	srcA_reg_top	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
falu2	srcA_size	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
falu2	srcB_class	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
falu2	srcB_imm	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
falu2	srcB_neg	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
falu2	srcB_reg	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
falu2	srcB_reg_top	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
falu2	srcB_size	hardware-run	G17P	EXP-0169	moved on 2 of 2 ladder-passing carriers
falu2_ext	dst	hardware-run	G17P	EXP-0154	carrier SYNTH+LIFTED:k_sat_add@falu2_ext[32:40]; outcomes {'ok': 1, 'wrong_value': 12, 'silent_zero': 1}; ok at {0x0}
falu2_ext	ext_tail	isolated-byte-diff	M4	EXP-0138	sweep not dense over the encodable range
falu2_ext	mod_hi	hardware-run	M4	EXP-0138	8/16 pre-registered predictions REFUTED; the label rests on the observed value->behaviour map, which is complete and reproduced in both runs
falu2_ext	mod_lo	hardware-run	G17P	EXP-0154	carrier SYNTH+LIFTED:k_sat_add@falu2_ext[32:40]; outcomes {'ok': 2, 'wrong_value': 6}; ok at {0x0-0x1}
falu2_ext	srcA_reg	hardware-run	G17P	EXP-0154	carrier SYNTH+LIFTED:k_sat_add@falu2_ext[32:40]; outcomes {'ok': 18, 'silent_zero': 8}; ok at {0x0, 0x2, 0xf-0x11, 0x1f-0x21, 0x2a, 0x30, 0x3f-0x40, 0x50, 0x55, 0x60, 0x70, 0x7e-0x7f}
falu2_ext	srcB_neg	hardware-run	M4	EXP-0138|EXP-0154|EXP-0194	EXP-0194 found the second carrier this row's own note asked for -- it was already committed. EXP-0138 `raw/m4_20260828_run01|run05|run06/sweep.jsonl`: bytes `6901040501000080` vs `6901040501080080` differ in EXACTLY ONE BIT, bit 43, which is this field (start=43,width=1); `w0` moves 8.0 -> 2.0 with both sentinels holding, identical in all three runs. Critically the host oracle PREDICTED 8.0 AND 2.0 SEPARATELY and matched both -- a discriminating oracle, which is the exact gate the 46 AMBIGUOUS rows fail (their oracle is constant while the field varies, so it predicts the instruction's effect, not the field's). Orchestrator re-derived all three runs from raw before merging. **TARGET IS M4/G16G, NOT the G17P documentation target** -- this adds to the target-blindness debt EXP-0193 named. The instruction stays BLOCKED on srcA_size, ctrl and srcB_imm, so the emittable-instruction headline does not move.
falu2_ext	srcB_reg	hardware-run	G17P	EXP-0154	carrier SYNTH+LIFTED:k_sat_add@falu2_ext[32:40]; outcomes {'wrong_value': 25, 'ok': 1}; ok at {0x2}
falu2_ext	srcB_size	hardware-run	G17P	EXP-0154	carrier SYNTH+LIFTED:k_sat_add@falu2_ext[32:40]; outcomes {'wrong_value': 1, 'ok': 1}; ok at {0x1}
falu2_srcmod10	dst	hardware-run	G17P	EXP-0154	carrier SYNTH+LIFTED:k_abs_add@falu2_srcmod10[32:42]; outcomes {'ok': 1, 'wrong_value': 12, 'silent_zero': 1}; ok at {0x0}
falu2_srcmod10	ext_srcmod	isolated-byte-diff	M4	EXP-0138	sweep not dense over the encodable range
falu2_srcmod10	mod_hi	hardware-run	M4	EXP-0138	8/16 pre-registered predictions REFUTED; the label rests on the observed value->behaviour map, which is complete and reproduced in both runs
falu2_srcmod10	mod_lo	hardware-run	G17P	EXP-0154	carrier SYNTH+LIFTED:k_abs_add@falu2_srcmod10[32:42]; outcomes {'ok': 1, 'wrong_value': 7}; ok at {0x0}
falu2_srcmod10	srcA_reg	hardware-run	G17P	EXP-0154	carrier SYNTH+LIFTED:k_abs_add@falu2_srcmod10[32:42]; outcomes {'ok': 2, 'wrong_value': 24}; ok at {0x0, 0x40}
falu2_srcmod10	srcA_size	hardware-run	G17P	EXP-0154	carrier SYNTH+LIFTED:k_abs_add@falu2_srcmod10[32:42]; outcomes {'wrong_value': 1, 'ok': 1}; ok at {0x1}
falu2_srcmod10	srcB_imm	hardware-run	G17P	EXP-0154	carrier SYNTH+LIFTED:k_abs_add@falu2_srcmod10[32:42]; outcomes {'ok': 1, 'wrong_value': 1}; ok at {0x0}
falu2_srcmod10	srcB_neg	hardware-run	G17P	EXP-0154	carrier SYNTH+LIFTED:k_abs_add@falu2_srcmod10[32:42]; outcomes {'ok': 1, 'wrong_value': 1}; ok at {0x0}
falu2_srcmod10	srcB_reg	hardware-run	G17P	EXP-0154	carrier SYNTH+LIFTED:k_abs_add@falu2_srcmod10[32:42]; outcomes {'wrong_value': 25, 'ok': 1}; ok at {0x2}
falu2_srcmod10	srcB_size	hardware-run	G17P	EXP-0154	carrier SYNTH+LIFTED:k_abs_add@falu2_srcmod10[32:42]; outcomes {'wrong_value': 1, 'ok': 1}; ok at {0x1}
falu2_uni	ctrl_lo	hardware-run	G17P	EXP-0169	moved on 1 of 1 ladder-passing carriers
falu2_uni	dst	hardware-run	G17P	EXP-0169|EXP-0183	RULING SUPPLIED. The row read `untested` only because EXP-0169 deferred it by coordinator directive ('`dst` -> EXP-0168'), and EXP-0168's committed field_verdicts.json contains NO falu2_uni.dst row -- the ruling was never made, and it is one of the 22 one-field-away blockers. Re-derived by EXP-0183 from EXP-0169's raw sweep.jsonl directly, not from its analysis. EXP-0169's ladder and falsifier both passed on this arm. CAVEAT: one carrier only, and the `__falsifier_byte0` step (byte0 -> 0x00) changes the opcode nibble as well as the field, so it is a weak falsifier here -- as it was for the half family (DEF-0180-B).
falu2_uni	mods	hardware-run	G17P	EXP-0169	moved on 1 of 1 ladder-passing carriers
falu2_uni	opflags	hardware-run	G17P	EXP-0169	moved on 1 of 1 ladder-passing carriers
falu2_uni	opsel	hardware-run	G17P	EXP-0169	moved on 1 of 1 ladder-passing carriers
falu2_uni	srcA_reg	hardware-run	G17P	EXP-0169	moved on 1 of 1 ladder-passing carriers
falu2_uni	srcA_size	hardware-run	G17P	EXP-0169	moved on 1 of 1 ladder-passing carriers
falu2_uni	usrc	hardware-run	G17P	EXP-0169	moved on 1 of 1 ladder-passing carriers
falu2i	dst	hardware-run	G17P	EXP-0168	100.000% agreement over 16 shared values, 15 moved vs 0 disagreements (infx), ladder and falsifier passed in every run
falu2i	imm_exp	hardware-run	G17P	EXP-0169	moved on 1 of 1 ladder-passing carriers
