key	verdict	label	target	orig	repaired_to	decisive_original	record_form
icmp_pred.dst_pred	CLAUSE-FALSE	hardware-run	M4+A18	EXP-0104,EXP-0115,RT-ISA-FIX	EXP-0139-m4-emit-ialu	EXP-0115-m4-controlflow-simd-deferred	raw-jsonl-sweep
ilogic.lut_a_z	CLAUSE-FALSE	hardware-run	G17P	EXP-0171	EXP-0146-m4-emit-int-misc,EXP-0154-g17p-emit-alu	EXP-0171-g17p-ilogic-srca	raw-jsonl-sweep
ilogic.outmod	CLAUSE-FALSE	hardware-run	G17P	EXP-0171	EXP-0146-m4-emit-int-misc,EXP-0154-g17p-emit-alu	EXP-0171-g17p-ilogic-srca	raw-jsonl-sweep
iter.mode	CLAUSE-FALSE	isolated-byte-diff	A18	EXP-0029	EXP-0155-g17p-emit-tex-frag,EXP-0163-g17p-inert-liveness	EXP-0029-fragment-isa	raw-textlog
iter.src_slot	CLAUSE-FALSE	isolated-byte-diff	A18	EXP-0029	EXP-0163-g17p-inert-liveness	EXP-0029-fragment-isa	raw-textlog
mov_zext16.src_reg	CLAUSE-FALSE	hardware-run	G17P	EXP-0161,EXP-0165	EXP-0146-m4-emit-int-misc	EXP-0161-g17p-carry-fspecial	raw-jsonl-sweep
simd_shuffle.lane	CLAUSE-FALSE	hardware-run	M4	EXP-0104,EXP-0115	EXP-0163-g17p-inert-liveness,EXP-0172-g17p-onefield-tail	EXP-0115-m4-controlflow-simd-deferred	raw-jsonl-sweep
simd_shuffle.mode	CLAUSE-FALSE	isolated-byte-diff	A18	EXP-0018,EXP-O2D	EXP-0163-g17p-inert-liveness,EXP-0172-g17p-onefield-tail	EXP-0018-atomics-subgroup	raw-textlog
spill_frame_marker._instruction	CLAUSE-TRUE	hardware-run	A18	EXP-M4-14-a18-splice,EXP-0041-scratch-helper-abi		None	None
stop.reserved	CLAUSE-FALSE	untested	A18	EXP-0003,EXP-0010	EXP-0168-g17p-dst-resweep	EXP-0003-hw-testbed	raw-textlog
tex_deriv.axis	CLAUSE-TRUE	isolated-byte-diff	A18	EXP-0016	EXP-0172-g17p-onefield-tail	None	None
tex_sample.result_desc	CLAUSE-FALSE	isolated-byte-diff	A18	EXP-0034	EXP-0172-g17p-onefield-tail	EXP-0034-texture-variants	raw-textlog
tex_sample.samp_slot_offset	CLAUSE-FALSE	isolated-byte-diff	M4+A18	EXP-0016,EXP-0034,EXP-0106	EXP-0172-g17p-onefield-tail	EXP-0016 and EXP-0034 (and EXP-0106)	raw-textlog
tex_sample.tex_slot	CLAUSE-FALSE	hardware-run	M4	EXP-0114,EXP-0016	EXP-0172-g17p-onefield-tail	EXP-0114 and EXP-0016	raw-percase-json
tex_sample.variant	CLAUSE-FALSE	hardware-run	M4+A18	EXP-0016,EXP-0034,EXP-M4-10	EXP-0172-g17p-onefield-tail	EXP-0016, EXP-0034 and EXP-M4-10	raw-textlog
vary_store.out_slot	CLAUSE-FALSE	isolated-byte-diff	A18	EXP-0037	EXP-0163-g17p-inert-liveness,EXP-0168-g17p-dst-resweep	EXP-0037-varying-texmath	raw-textlog
vary_store.src	CLAUSE-FALSE	isolated-byte-diff	A18	EXP-0037	EXP-0163-g17p-inert-liveness,EXP-0168-g17p-dst-resweep	EXP-0037-varying-texmath	raw-textlog
